Profile,Profile_no,Stage,Datetime,Latitude,Longitude,MLD,Sun_angle,Kd380,Kd443,Kd490,Kd555
45,45,590,07-Feb-2024 05:07:33,55.4071643333333,14.6031455,NaN,-13.8167138493681,NaN,NaN,NaN,NaN
46,46,190,07-Feb-2024 05:35:25,55.4071643333333,14.6031455,35,-9.91718746940036,NaN,NaN,NaN,NaN
46,46,590,07-Feb-2024 07:02:27,55.3944105,14.5935991666667,NaN,1.53619005220762,NaN,NaN,NaN,NaN
47,47,190,07-Feb-2024 07:29:52,55.3944105,14.5935991666667,35.4,4.7901922025662,1.32146717873292,0.462184498291473,0.246057366465211,0.18955388556348
47,47,590,07-Feb-2024 08:58:03,55.3783815,14.5786951666667,34.6,13.478734131279,NaN,0.497208453040458,0.274805618743675,0.213259594714402
48,48,190,07-Feb-2024 09:30:28,55.3783815,14.5786951666667,NaN,15.8022772656693,NaN,NaN,NaN,NaN
48,48,590,07-Feb-2024 10:56:31,55.3551766666667,14.5592188333333,NaN,19.1381370101649,NaN,NaN,NaN,NaN
49,49,190,07-Feb-2024 11:26:35,55.3551766666667,14.5592188333333,33.4,19.2261110282855,NaN,0.450784584291567,0.232631189431997,0.172562823405682
49,49,590,07-Feb-2024 12:54:34,55.3371611666667,14.5467558333333,NaN,16.2864997542221,NaN,NaN,NaN,NaN
50,50,190,07-Feb-2024 13:22:21,55.3371611666667,14.5467558333333,32.2,14.4311551136132,NaN,0.495325349649717,0.275442686728331,NaN
50,50,590,07-Feb-2024 14:49:03,55.320487,14.5354406666667,NaN,6.34842843902438,NaN,NaN,NaN,NaN
51,51,190,07-Feb-2024 15:18:24,55.320487,14.5354406666667,30.4,2.96861004283168,1.33917129195126,0.460857489173384,0.255576416060305,0.190538680047065
51,51,590,07-Feb-2024 16:47:20,55.3065065,14.5268078333333,27.2,-8.55367329472628,NaN,NaN,NaN,NaN
52,52,190,07-Feb-2024 17:14:34,55.3065065,14.5268078333333,28.4,-12.3384687540711,NaN,NaN,NaN,NaN
52,52,590,07-Feb-2024 18:42:33,55.294961,14.5209261666667,NaN,-24.787436614843,NaN,NaN,NaN,NaN
53,53,190,07-Feb-2024 19:09:50,55.294961,14.5209261666667,28.6,-28.5815401606134,NaN,NaN,NaN,NaN
53,53,590,07-Feb-2024 20:39:02,55.2868655,14.5195268333333,28,-39.9317758396097,NaN,NaN,NaN,NaN
54,54,190,07-Feb-2024 21:11:39,55.2868655,14.5195268333333,28.8,-43.3743582221823,NaN,NaN,NaN,NaN
54,54,590,07-Feb-2024 22:39:57,55.27571,14.5163346666667,NaN,-49.3585702494024,NaN,NaN,NaN,NaN
55,55,190,07-Feb-2024 23:08:45,55.27571,14.5163346666667,28.6,-49.9293778488369,NaN,NaN,NaN,NaN
55,55,590,08-Feb-2024 10:54:34,55.3005355,14.522823,29.4,19.477541830422,1.22726507890618,NaN,NaN,NaN
56,56,190,08-Feb-2024 11:21:41,55.3005355,14.522823,29.2,19.6197896425673,NaN,0.498838035996788,0.272667996498896,NaN
56,56,590,08-Feb-2024 12:52:34,55.2987498333333,14.533276,27.8,16.7508420783728,1.39634108968853,0.524543875579929,0.300527498680626,0.244396809761536
57,57,190,08-Feb-2024 13:20:18,55.2987498333333,14.533276,27.6,14.921523488686,1.34285760025236,0.494992366221582,0.268205832473497,NaN
57,57,590,08-Feb-2024 14:49:03,55.293453,14.5437013333333,26.8,6.64637304286687,1.46337293096158,0.527382764899237,0.271995268096573,NaN
58,58,190,08-Feb-2024 15:17:30,55.293453,14.5437013333333,26.6,3.36713202460368,NaN,0.507596325122473,0.287054228816093,0.229783282399489
58,58,590,08-Feb-2024 16:45:04,55.2807965,14.5488613333333,27.2,-7.98034599713982,NaN,NaN,NaN,NaN
59,59,190,08-Feb-2024 17:22:32,55.2807965,14.5488613333333,28.6,-13.2046273547881,NaN,NaN,NaN,NaN
59,59,590,08-Feb-2024 18:48:33,55.2676406666667,14.5482971666667,27,-25.385394940213,NaN,NaN,NaN,NaN
60,60,190,08-Feb-2024 19:15:25,55.2676406666667,14.5482971666667,27.2,-29.102212155744,NaN,NaN,NaN,NaN
60,60,590,08-Feb-2024 20:42:02,55.2587946666667,14.5440353333333,27,-40.0130233036931,NaN,NaN,NaN,NaN
61,61,190,08-Feb-2024 21:08:33,55.2587946666667,14.5440353333333,27,-42.8076370405508,NaN,NaN,NaN,NaN
61,61,590,08-Feb-2024 22:34:34,55.2497236666667,14.5372608333333,25.2,-48.8836162515694,NaN,NaN,NaN,NaN
62,62,190,08-Feb-2024 23:02:57,55.2497236666667,14.5372608333333,26.8,-49.5865749525721,NaN,NaN,NaN,NaN
62,62,590,09-Feb-2024 00:29:03,55.2417465,14.531606,25.2,-47.258005832976,NaN,NaN,NaN,NaN
63,63,190,09-Feb-2024 00:57:24,55.2417465,14.531606,25.2,-45.1577139010417,NaN,NaN,NaN,NaN
63,63,590,09-Feb-2024 02:23:33,55.2342916666667,14.5278176666667,25.8,-35.9833948813902,NaN,NaN,NaN,NaN
64,64,190,09-Feb-2024 02:54:31,55.2342916666667,14.5278176666667,26.8,-31.994459770407,NaN,NaN,NaN,NaN
64,64,590,09-Feb-2024 04:19:36,55.2258235,14.5247438333333,NaN,-20.1745340266774,NaN,NaN,NaN,NaN
65,65,190,09-Feb-2024 04:45:55,55.2258235,14.5247438333333,27.4,-16.4171263928556,NaN,NaN,NaN,NaN
65,65,590,09-Feb-2024 06:12:29,55.219009,14.5244855,26,-4.33805495903533,NaN,NaN,NaN,NaN
66,66,190,09-Feb-2024 06:40:40,55.219009,14.5244855,26.8,-0.629696425267299,NaN,NaN,NaN,NaN
66,66,590,09-Feb-2024 08:02:34,55.212581,14.5206725,NaN,9.01339371553533,NaN,NaN,NaN,NaN
67,67,190,09-Feb-2024 08:30:45,55.212581,14.5206725,28.8,11.8046900565027,NaN,NaN,NaN,NaN
67,67,590,09-Feb-2024 09:57:03,55.2082036666667,14.5178261666667,26.8,18.0522763005529,NaN,NaN,NaN,NaN
68,68,190,09-Feb-2024 10:25:37,55.2082036666667,14.5178261666667,24,19.2172863714427,NaN,NaN,NaN,NaN
68,68,590,09-Feb-2024 11:51:20,55.2041403333333,14.5153248333333,20.6,19.6540489941215,NaN,NaN,NaN,NaN
69,69,190,09-Feb-2024 12:17:14,55.2041403333333,14.5153248333333,22,18.870616857983,NaN,NaN,NaN,NaN
69,69,590,09-Feb-2024 13:42:57,55.2005451666667,14.5143041666667,NaN,13.5235024380247,NaN,NaN,NaN,NaN
70,70,190,09-Feb-2024 14:10:04,55.2005451666667,14.5143041666667,17.8,11.0619117922194,NaN,NaN,NaN,NaN
70,70,590,09-Feb-2024 15:35:58,55.201258,14.5176243333333,20.6,1.44612594041782,NaN,NaN,NaN,NaN
71,71,190,09-Feb-2024 16:03:17,55.201258,14.5176243333333,20,-2.04985351095025,NaN,NaN,NaN,NaN
71,71,590,09-Feb-2024 17:30:53,55.2056031666667,14.5283881666667,28.2,-14.1022729451337,NaN,NaN,NaN,NaN
72,72,190,09-Feb-2024 17:58:58,55.2056031666667,14.5283881666667,27.8,-18.0975089798266,NaN,NaN,NaN,NaN
72,72,590,11-Feb-2024 04:55:28,55.2086698333333,14.5349031666667,28,-14.5346064735198,NaN,NaN,NaN,NaN
73,73,190,11-Feb-2024 05:22:33,55.2086698333333,14.5349031666667,29.4,-10.694799903811,NaN,NaN,NaN,NaN
73,73,590,11-Feb-2024 07:12:04,55.2019248333333,14.527948,28,3.86134031254115,NaN,NaN,NaN,NaN
74,74,190,11-Feb-2024 07:38:38,55.2019248333333,14.527948,28.4,6.98704453081448,NaN,NaN,NaN,NaN
74,74,590,11-Feb-2024 09:26:21,55.1968011666667,14.5231831666667,27.8,16.905569969104,NaN,NaN,NaN,NaN
75,75,190,11-Feb-2024 09:51:41,55.1968011666667,14.5231831666667,27.6,18.4222784802034,NaN,NaN,NaN,NaN
75,75,590,11-Feb-2024 11:16:58,55.1917078333333,14.5173443333333,26.2,20.7035428546405,NaN,NaN,NaN,NaN
76,76,190,11-Feb-2024 11:43:02,55.1917078333333,14.5173443333333,26.2,20.4764073705305,NaN,NaN,NaN,NaN
76,76,590,11-Feb-2024 13:04:09,55.1859738333333,14.5155375,25.8,17.0770301085636,NaN,NaN,NaN,NaN
77,77,190,11-Feb-2024 13:31:35,55.1859738333333,14.5155375,28,15.081686497377,NaN,NaN,NaN,NaN
77,77,590,11-Feb-2024 14:54:07,55.1838041666667,14.5158606666667,27,7.02187412069951,NaN,NaN,NaN,NaN
78,78,190,11-Feb-2024 15:19:44,55.1838041666667,14.5158606666667,31.2,4.01806275516506,NaN,NaN,NaN,NaN
78,78,590,11-Feb-2024 16:43:28,55.181273,14.5185736666667,30.4,-6.91272769881563,NaN,NaN,NaN,NaN
79,79,190,11-Feb-2024 17:13:06,55.181273,14.5185736666667,31.6,-11.0497915285826,NaN,NaN,NaN,NaN
79,79,590,11-Feb-2024 18:35:21,55.178652,14.5247165,28.8,-22.7364428227705,NaN,NaN,NaN,NaN
80,80,190,11-Feb-2024 19:05:26,55.178652,14.5247165,31.6,-26.9348032296008,NaN,NaN,NaN,NaN
80,80,590,16-Feb-2024 13:07:33,55.186559,14.5306788333333,10,18.4575232224076,NaN,NaN,NaN,NaN
81,81,190,16-Feb-2024 13:33:53,55.186559,14.5306788333333,9.6,16.4712505494222,NaN,NaN,NaN,NaN
81,81,590,21-Feb-2024 13:03:53,55.195079,14.5318043333333,19.4,20.3704631301006,NaN,NaN,NaN,NaN
82,82,190,21-Feb-2024 13:29:44,55.195079,14.5318043333333,20,18.436591316498,NaN,NaN,NaN,NaN
82,82,590,26-Feb-2024 12:35:02,55.1908321666667,14.5267366666667,20,23.8574274662149,NaN,NaN,NaN,NaN
83,83,190,26-Feb-2024 13:32:14,55.1908321666667,14.5267366666667,23,19.9074754892797,1.02918090049109,0.374903551369365,0.212071915865977,0.180773987661682
83,83,590,02-Mar-2024 12:35:04,55.1956045,14.532894,9.2,25.6480518458575,1.03518020630038,0.364584172532556,0.194259063326815,0.160495185137633
84,84,190,02-Mar-2024 13:00:28,55.1956045,14.532894,9.6,24.0763374833699,1.03510103758332,0.379759322353936,0.208527087795923,0.173677756450941
84,84,590,07-Mar-2024 13:16:33,55.2061478333333,14.5377911666667,26.8,24.621680843855,1.00729497761369,0.376105035780745,NaN,NaN
